track,proj,blk,stk,dist,reg,ten,floor,date,base_sqft,ph_sqft,extra,extra_pct,n_base,base_price,ph_price,base_psf,ph_psf,void_psf,ratio,headline_drop
newsale,BOTANIQUE AT BARTLEY,225 UPPER PAYA LEBAR ROAD,12,19,North East Region,LH,17,2015-08-21,1130,1356,226,0.2,10,1523026,1580000,1348,1165,252,0.187,-0.1355
newsale,BOTANIQUE AT BARTLEY,227 UPPER PAYA LEBAR ROAD,13,19,North East Region,LH,17,2015-05-08,958,1163,205,0.213,14,1261806,1334000,1317,1148,353,0.268,-0.1288
newsale,BOTANIQUE AT BARTLEY,227 UPPER PAYA LEBAR ROAD,14,19,North East Region,LH,17,2015-05-18,732,850,118,0.162,14,978288,992000,1337,1167,116,0.0866,-0.1272
newsale,BOTANIQUE AT BARTLEY,227 UPPER PAYA LEBAR ROAD,15,19,North East Region,LH,17,2015-05-25,926,1130,205,0.221,13,1232352,1306000,1331,1156,360,0.2705,-0.132
newsale,BOTANIQUE AT BARTLEY,227 UPPER PAYA LEBAR ROAD,16,19,North East Region,LH,17,2015-05-27,1130,1356,226,0.2,9,1520064,1580000,1345,1165,265,0.1972,-0.1338
newsale,BOTANIQUE AT BARTLEY,229 UPPER PAYA LEBAR ROAD,17,19,North East Region,LH,17,2015-07-21,495,646,151,0.304,15,682240,743000,1378,1150,403,0.2926,-0.1651
newsale,BOTANIQUE AT BARTLEY,229 UPPER PAYA LEBAR ROAD,20,19,North East Region,LH,17,2015-08-02,517,689,172,0.333,15,687940,756000,1331,1097,395,0.2968,-0.1758
newsale,BOTANIQUE AT BARTLEY,229 UPPER PAYA LEBAR ROAD,23,19,North East Region,LH,17,2015-07-23,495,646,151,0.304,14,679684,744000,1373,1152,427,0.3109,-0.1608
newsale,BOTANIQUE AT BARTLEY,231 UPPER PAYA LEBAR ROAD,24,19,North East Region,LH,17,2015-06-20,495,646,151,0.304,14,656106,718000,1325,1112,411,0.3099,-0.161
newsale,BOTANIQUE AT BARTLEY,231 UPPER PAYA LEBAR ROAD,27,19,North East Region,LH,17,2015-09-17,517,689,172,0.333,15,685676,748000,1327,1086,362,0.2727,-0.1818
newsale,BOTANIQUE AT BARTLEY,231 UPPER PAYA LEBAR ROAD,30,19,North East Region,LH,17,2015-07-21,495,646,151,0.304,16,657620,721000,1328,1116,421,0.3167,-0.1595
newsale,BOTANIQUE AT BARTLEY,233 UPPER PAYA LEBAR ROAD,31,19,North East Region,LH,17,2015-07-14,495,646,151,0.304,15,679592,744000,1373,1152,427,0.3114,-0.1607
newsale,BOTANIQUE AT BARTLEY,233 UPPER PAYA LEBAR ROAD,34,19,North East Region,LH,17,2015-06-23,517,689,172,0.333,14,680886,744000,1318,1080,366,0.2781,-0.1805
newsale,BOTANIQUE AT BARTLEY,233 UPPER PAYA LEBAR ROAD,37,19,North East Region,LH,17,2015-06-27,495,646,151,0.304,16,678300,744000,1370,1152,436,0.3182,-0.1591
newsale,BOTANIQUE AT BARTLEY,235 UPPER PAYA LEBAR ROAD,38,19,North East Region,LH,17,2015-06-06,1033,1238,205,0.198,13,1428920,1486000,1383,1200,279,0.2018,-0.1319
newsale,BOTANIQUE AT BARTLEY,235 UPPER PAYA LEBAR ROAD,40,19,North East Region,LH,17,2015-08-05,721,840,118,0.164,15,953344,959000,1322,1142,48,0.0361,-0.1359
newsale,BOTANIQUE AT BARTLEY,235 UPPER PAYA LEBAR ROAD,41,19,North East Region,LH,17,2015-05-28,721,840,118,0.164,14,955898,969000,1325,1154,111,0.0835,-0.1292
newsale,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD,42,19,North East Region,LH,17,2015-05-31,495,646,151,0.304,13,679056,744000,1371,1152,431,0.3142,-0.16
newsale,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD,45,19,North East Region,LH,17,2015-07-24,517,689,172,0.333,16,686390,756000,1328,1097,404,0.3042,-0.1739
newsale,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD,48,19,North East Region,LH,17,2015-06-13,495,646,151,0.304,15,676000,735000,1365,1138,392,0.2868,-0.1664
newsale,CAIRNHILL 16,16 CAIRNHILL RISE,01,09,Central Region,FH,14,2023-06-09,1292,1744,452,0.35,9,3733043,5606112,2890,3215,4143,1.4336,0.1124
